"","ppID","runIdx","trialIdx","trialCode","trialOnset","trialDuration","timestamp","X","Y","bin","interval","gapfill","Xf","Yf","frameTime","frameStep","Xa","Ya","AV","lMax","AVf","fixation","cluster","inROI","roiValid"
"79","pilot",1,5,4,14.04911867,3.014133934,1.297311423,1061.900024,618,647,0.016669542,1,1050.300049,614.3999939,1.283295114,0.016669542,76.575511547228,64.2173648308895,0.226613123506184,0,0.226613123506184,1,3,1,1
"80","pilot",1,5,4,14.04911867,3.014133934,1.313956275,1048.300049,614.3999939,655,0.016644852,1,1050.300049,614.3999939,1.299939966,0.016644852,76.575511547228,64.2173648308895,0.383272658092851,1,0.383272658092851,1,3,1,1
"81","pilot",1,5,4,14.04911867,3.014133934,1.330641631,1050.300049,620.7999878,663,0.016685356,1,1051.300049,618,1.316625322,0.016685356,76.6484197715208,64.593639094256,0,0,0,1,3,1,1
"82","pilot",1,5,4,14.04911867,3.014133934,1.347310064,1051.300049,611.8999939,672,0.016668433,1,1050.300049,614.3999939,1.333293755,0.016668433,76.575511547228,64.2173648308895,0.219493585953288,0,0.219493585953288,1,3,1,1
"83","pilot",1,5,4,14.04911867,3.014133934,1.363956026,1052.199951,620.1000061,680,0.0166459620000001,1,1051.300049,620.1000061,1.349939717,0.0166459620000001,76.6484197715208,64.8131326802093,0.295745920763759,1,0.295745920763759,1,3,1,1
"84","pilot",1,5,4,14.04911867,3.014133934,1.380646097,1046.199951,602.2000122,688,0.016690071,1,1052.199951,611.8999939,1.366629788,0.016690071,76.7140300283783,63.9560637018674,0.218724672878395,0,0.218724672878395,1,3,1,1
"85","pilot",1,5,4,14.04911867,3.014133934,1.397304543,1055.300049,624.3999939,697,0.0166584459999999,1,1054.300049,620.1000061,1.383288234,0.0166584459999999,76.8671444443992,64.8131326802093,0.331593296876208,0,0.331593296876208,1,3,1,1
"86","pilot",1,5,4,14.04911867,3.014133934,1.413967428,1055,609.2000122,705,0.0166628850000001,1,1055,609.3999939,1.399951119,0.0166628850000001,76.9181766289012,63.6947625728454,0.517313054791975,0,0.517313054791975,1,3,1,1
"87","pilot",1,5,4,14.04911867,3.014133934,1.43063808,1054.300049,623,713,0.016670652,1,1055.300049,615.2000122,1.416621771,0.016670652,76.940052668692,64.3009831049008,0.606220532055467,1,0.606220532055467,1,3,1,1
"88","pilot",1,5,4,14.04911867,3.014133934,1.447304848,1062.400024,609.3999939,721,0.0166667679999999,1,1055,615.2000122,1.433288539,0.0166667679999999,76.9181766289012,64.3009831049008,0.110937332757375,0,0.110937332757375,1,3,1,1
"89","pilot",1,5,4,14.04911867,3.014133934,1.463972726,1058.199951,615.2000122,730,0.016667878,1,1054.300049,616,1.449956417,0.016667878,76.8671444443992,64.3845981910384,0.233302745233971,1,0.233302745233971,1,3,1,1
"90","pilot",1,5,4,14.04911867,3.014133934,1.480639495,1051.800049,616,738,0.016666769,1,1051.800049,615.2000122,1.466623186,0.016666769,76.6848738836672,64.3009831049008,0.192757532166989,0,0.192757532166989,1,3,1,1
"91","pilot",1,5,4,14.04911867,3.014133934,1.49730016,1048.699951,628.1000061,746,0.0166606650000001,1,1051.800049,615.3999939,1.483283851,0.0166606650000001,76.6848738836672,64.3218852824983,0.0836150861375557,0,0.0836150861375557,1,3,1,1
"92","pilot",1,5,4,14.04911867,3.014133934,1.513951393,1046.699951,610.6000061,755,0.0166512329999999,1,1051.800049,616,1.499935084,0.0166512329999999,76.6848738836672,64.3845981910384,0.16723336014887,1,0.16723336014887,1,3,1,1
"93","pilot",1,5,4,14.04911867,3.014133934,1.530631477,1056.599976,615.3999939,763,0.0166800840000001,1,1051.800049,617,1.516615168,0.0166800840000001,76.6848738836672,64.4891186426472,0.0627129085400497,0,0.0627129085400497,1,3,1,1
"94","pilot",1,5,4,14.04911867,3.014133934,1.547297968,1054.199951,617,771,0.0166664910000001,1,1051.800049,615.3999939,1.533281659,0.0166664910000001,76.6848738836672,64.3218852824983,0,0,0,1,3,1,1
"95","pilot",1,5,4,14.04911867,3.014133934,1.563947537,1051.800049,626.2000122,780,0.0166495689999999,1,1051.800049,617,1.549931228,0.0166495689999999,76.6848738836672,64.4891186426472,0.203903465509446,0,0.203903465509446,1,3,1,1
"96","pilot",1,5,4,14.04911867,3.014133934,1.580634834,1050.199951,606.7999878,788,0.016687297,1,1050.199951,617,1.566618525,0.016687297,76.5682135797927,64.4891186426472,0.212560476890786,0,0.212560476890786,1,3,1,1
"97","pilot",1,5,4,14.04911867,3.014133934,1.597299106,1046.400024,619.3999939,796,0.0166642719999999,1,1050.199951,618.7000122,1.583282797,0.0166642719999999,76.5682135797927,64.6668046855317,0.308223507322903,0,0.308223507322903,1,3,1,1
"98","pilot",1,5,4,14.04911867,3.014133934,1.613943681,1038,610.2000122,804,0.0166445750000002,1,1048.5,614.2999878,1.599927372,0.0166445750000002,76.444273170998,64.2069121481539,0.366511417995568,1,0.366511417995568,1,3,1,1
"99","pilot",1,5,4,14.04911867,3.014133934,1.630630423,1050.199951,618.7000122,813,0.0166867419999999,1,1048.5,615.3999939,1.616614114,0.0166867419999999,76.444273170998,64.3218852824983,0,0,0,1,3,1,1
"100","pilot",1,5,4,14.04911867,3.014133934,1.647299134,1048.5,614.2999878,821,0.0166687110000001,1,1048.5,614.2999878,1.633282825,0.0166687110000001,76.444273170998,64.2069121481539,0,0,0,1,3,1,1
"101","pilot",1,5,4,14.04911867,3.014133934,1.663978108,1055.5,615.3999939,829,0.016678974,1,1048.5,615.3999939,1.649961799,0.016678974,76.444273170998,64.3218852824983,0.114973134344467,1,0.114973134344467,1,3,1,1
"102","pilot",1,5,4,14.04911867,3.014133934,1.680631561,1044,603.6000061,838,0.016653453,1,1048.5,615.3999939,1.666615252,0.016653453,76.444273170998,64.3218852824983,0.0947842640836285,0,0.0947842640836285,1,3,1,1
"103","pilot",1,5,4,14.04911867,3.014133934,1.697294723,1045.900024,622.2999878,846,0.016663162,1,1049.800049,615.3999939,1.683278414,0.016663162,76.5390574350816,64.3218852824983,0.196631599195498,0,0.196631599195498,1,3,1,1
"104","pilot",1,5,4,14.04911867,3.014133934,1.71395733,1049.800049,630.8999939,854,0.016662607,1,1045.900024,614.8999939,1.699941021,0.016662607,76.2547135376341,64.2696250566939,0.767469707479569,1,0.767469707479569,1,3,1,1
"105","pilot",1,5,4,14.04911867,3.014133934,1.730623543,1056.699951,612.5,862,0.0166662130000002,1,1046.199951,622.2999878,1.716607234,0.0166662130000002,76.2765806826215,65.0430757610245,0.284343897447513,0,0.284343897447513,1,3,1,1
"106","pilot",1,5,4,14.04911867,3.014133934,1.747286705,1044.300049,614.8999939,871,0.016663162,1,1049.800049,614.8999939,1.733270396,0.016663162,76.5390574350816,64.2696250566939,0.785758134617562,1,0.785758134617562,1,3,1,1
"107","pilot",1,5,4,14.04911867,3.014133934,1.763939603,1046.199951,622.5,879,0.016652898,1,1048.099976,614.8999939,1.749923294,0.016652898,76.4151081314835,64.2696250566939,0.558449645357723,0,0.558449645357723,1,3,1,1
"108","pilot",1,5,4,14.04911867,3.014133934,1.78062579,1062.800049,604.3999939,887,0.0166861869999999,1,1047.099976,619.8999939,1.766609481,0.0166861869999999,76.3421999071907,64.7922273147381,0.522602258044145,0,0.522602258044145,1,3,1,1
"109","pilot",1,5,4,14.04911867,3.014133934,1.797289507,1048.099976,626.2999878,896,0.0166637169999999,1,1048.099976,619.8999939,1.783273198,0.0166637169999999,76.4151081314835,64.7922273147381,0.527663462144546,1,0.527663462144546,1,3,1,1
"110","pilot",1,5,4,14.04911867,3.014133934,1.813934914,1047.099976,619.8999939,904,0.0166454070000002,1,1048.099976,614.8999939,1.799918605,0.0166454070000002,76.4151081314835,64.2696250566939,0.522805549350972,0,0.522805549350972,1,3,1,1
"111","pilot",1,5,4,14.04911867,3.014133934,1.830621657,1050.900024,606.5,912,0.0166867429999999,1,1047.900024,614.8999939,1.816605348,0.0166867429999999,76.4005299862197,64.2696250566939,0.880993166733492,0,0.880993166733492,1,3,1,1
"112","pilot",1,5,4,14.04911867,3.014133934,1.847283709,1047.900024,614.8999939,920,0.016662052,1,1047.099976,606.5,1.8332674,0.016662052,76.3421999071907,63.3916539007545,0.916363840781784,1,0.916363840781784,1,3,1,1
"113","pilot",1,5,4,14.04911867,3.014133934,1.86393189,1044.300049,605,929,0.0166481809999999,1,1044.300049,606.5,1.849915581,0.0166481809999999,76.1380622014712,63.3916539007545,0.307485754760063,0,0.307485754760063,1,3,1,1
